PACIFIC Exchange Rate Service
Jul.Day	YYYY/MM/DD	Wdy	USD/GBP	EUR/GBP	CNY/GBP
2456660	2014/01/02	Thu	1.6439	1.2026	9.9488
2456661	2014/01/03	Fri	1.6424	1.2072	9.9384
2456664	2014/01/06	Mon	1.6410	1.2035	9.9324
2456665	2014/01/07	Tue	1.6420	1.2059	9.9369
2456666	2014/01/08	Wed	1.6460	1.2115	9.9625
2456667	2014/01/09	Thu	1.6458	1.2110	9.9660
2456668	2014/01/10	Fri	1.6470	1.2055	9.9667
2456671	2014/01/13	Mon	1.6378	1.2002	9.8949
2456672	2014/01/14	Tue	1.6449	1.2023	9.9365
2456673	2014/01/15	Wed	1.6374	1.2037	9.9015
2456674	2014/01/16	Thu	1.6336	1.2012	9.8941
2456675	2014/01/17	Fri	1.6428	1.2121	9.9376
2456678	2014/01/20	Mon	1.6420	1.2107	9.9393
2456679	2014/01/21	Tue	1.6469	1.2145	9.9669
2456680	2014/01/22	Wed	1.6569	1.2232	10.0273
2456681	2014/01/23	Thu	1.6611	1.2143	10.0533
2456682	2014/01/24	Fri	1.6491	1.2055	9.9737
2456685	2014/01/27	Mon	1.6587	1.2126	10.0316
2456686	2014/01/28	Tue	1.6580	1.2137	10.0342
2456687	2014/01/29	Wed	1.6560	1.2121	10.0277
2456688	2014/01/30	Thu	1.6486	1.2168	9.9929
2456689	2014/01/31	Fri	1.6449	1.2184	9.9673
2456692	2014/02/03	Mon	1.6306	1.2058	9.8856
2456693	2014/02/04	Tue	1.6299	1.2068	9.8788
2456694	2014/02/05	Wed	1.6307	1.2062	9.8810
2456695	2014/02/06	Thu	1.6344	1.2015	9.9047
2456696	2014/02/07	Fri	1.6393	1.2042	9.9406
2456699	2014/02/10	Mon	1.6417	1.2033	9.9495
2456700	2014/02/11	Tue	1.6466	1.2061	9.9802
2456701	2014/02/12	Wed	1.6577	1.2196	10.0513
2456702	2014/02/13	Thu	1.6642	1.2175	10.0900
2456703	2014/02/14	Fri	1.6735	1.2225	10.1530
2456707	2014/02/18	Tue	1.6695	1.2135	10.1308
2456708	2014/02/19	Wed	1.6716	1.2148	10.1557
2456709	2014/02/20	Thu	1.6639	1.2154	10.1238
2456710	2014/02/21	Fri	1.6629	1.2119	10.1286
2456713	2014/02/24	Mon	1.6640	1.2108	10.1495
2456714	2014/02/25	Tue	1.6696	1.2144	10.2243
2456715	2014/02/26	Wed	1.6647	1.2179	10.1961
2456716	2014/02/27	Thu	1.6691	1.2162	10.2277
2456717	2014/02/28	Fri	1.6749	1.2132	10.2941
2456720	2014/03/03	Mon	1.6711	1.2142	10.2693
2456721	2014/03/04	Tue	1.6663	1.2135	10.2372
2456722	2014/03/05	Wed	1.6728	1.2180	10.2529
2456723	2014/03/06	Thu	1.6742	1.2089	10.2450
2456724	2014/03/07	Fri	1.6724	1.2059	10.2459
2456727	2014/03/10	Mon	1.6633	1.1984	10.2106
2456728	2014/03/11	Tue	1.6627	1.1990	10.2111
2456729	2014/03/12	Wed	1.6605	1.1943	10.2014
2456730	2014/03/13	Thu	1.6676	1.1975	10.2325
2456731	2014/03/14	Fri	1.6628	1.1942	10.2252
2456734	2014/03/17	Mon	1.6644	1.1951	10.2823
2456735	2014/03/18	Tue	1.6573	1.1912	10.2642
2456736	2014/03/19	Wed	1.6628	1.1954	10.3038
2456737	2014/03/20	Thu	1.6510	1.1978	10.2795
2456738	2014/03/21	Fri	1.6494	1.1969	10.2686
2456741	2014/03/24	Mon	1.6489	1.1964	10.2188
2456742	2014/03/25	Tue	1.6506	1.1981	10.2370
2456743	2014/03/26	Wed	1.6565	1.2015	10.2830
2456744	2014/03/27	Thu	1.6611	1.2091	10.3185
2456745	2014/03/28	Fri	1.6636	1.2097	10.3346
2456748	2014/03/31	Mon	1.6674	1.2103	10.3656
2456749	2014/04/01	Tue	1.6638	1.2054	10.3247
2456750	2014/04/02	Wed	1.6633	1.2087	10.3195
2456751	2014/04/03	Thu	1.6582	1.2098	10.2971
2456752	2014/04/04	Fri	1.6593	1.2109	10.3090
2456755	2014/04/07	Mon	1.6615	1.2088	10.3216
2456756	2014/04/08	Tue	1.6743	1.2131	10.3727
2456757	2014/04/09	Wed	1.6751	1.2124	10.3891
2456758	2014/04/10	Thu	1.6781	1.2080	10.4277
2456759	2014/04/11	Fri	1.6735	1.2042	10.3921
2456762	2014/04/14	Mon	1.6740	1.2109	10.4104
2456763	2014/04/15	Tue	1.6724	1.2113	10.4051
2456764	2014/04/16	Wed	1.6793	1.2151	10.4450
2456765	2014/04/17	Thu	1.6808	1.2152	10.4553
2456769	2014/04/21	Mon	1.6792	1.2177	10.4554
2456770	2014/04/22	Tue	1.6832	1.2194	10.4972
2456771	2014/04/23	Wed	1.6767	1.2137	10.4562
2456772	2014/04/24	Thu	1.6796	1.2147	10.4935
2456773	2014/04/25	Fri	1.6809	1.2147	10.5096
2456776	2014/04/28	Mon	1.6811	1.2143	10.5147
2456777	2014/04/29	Tue	1.6828	1.2188	10.5302
2456778	2014/04/30	Wed	1.6882	1.2173	10.5642
2456779	2014/05/01	Thu	1.6900	1.2187	10.5771
2456780	2014/05/02	Fri	1.6864	1.2164	10.5562
2456783	2014/05/05	Mon	1.6870	1.2151	10.5365
2456784	2014/05/06	Tue	1.6975	1.2192	10.5695
2456785	2014/05/07	Wed	1.6963	1.2189	10.5738
2456786	2014/05/08	Thu	1.6944	1.2221	10.5554
2456787	2014/05/09	Fri	1.6848	1.2242	10.4937
2456790	2014/05/12	Mon	1.6870	1.2261	10.5249
2456791	2014/05/13	Tue	1.6838	1.2282	10.4860
2456792	2014/05/14	Wed	1.6783	1.2234	10.4531
2456793	2014/05/15	Thu	1.6791	1.2245	10.4637
2456794	2014/05/16	Fri	1.6827	1.2276	10.4874
2456798	2014/05/20	Tue	1.6846	1.2296	10.5117
2456799	2014/05/21	Wed	1.6869	1.2353	10.5148
2456800	2014/05/22	Thu	1.6858	1.2348	10.5103
2456801	2014/05/23	Fri	1.6822	1.2345	10.4911
2456804	2014/05/26	Mon	1.6844	1.2341	10.5069
2456805	2014/05/27	Tue	1.6799	1.2336	10.4997
2456806	2014/05/28	Wed	1.6707	1.2289	10.4459
2456807	2014/05/29	Thu	1.6718	1.2285	10.4300
2456808	2014/05/30	Fri	1.6764	1.2291	10.4756
2456811	2014/06/02	Mon	1.6755	1.2315	10.4673
2456812	2014/06/03	Tue	1.6752	1.2296	10.4785
2456813	2014/06/04	Wed	1.6746	1.2296	10.4657
2456814	2014/06/05	Thu	1.6795	1.2332	10.5057
2456815	2014/06/06	Fri	1.6793	1.2312	10.4943
2456818	2014/06/09	Mon	1.6797	1.2361	10.4840
2456819	2014/06/10	Tue	1.6752	1.2371	10.4247
2456820	2014/06/11	Wed	1.6802	1.2412	10.4576
2456821	2014/06/12	Thu	1.6852	1.2432	10.4791
2456822	2014/06/13	Fri	1.6952	1.2536	10.5274
2456825	2014/06/16	Mon	1.6988	1.2512	10.5809
2456826	2014/06/17	Tue	1.6964	1.2527	10.5617
2456827	2014/06/18	Wed	1.6950	1.2494	10.5648
2456828	2014/06/19	Thu	1.7045	1.2515	10.6191
2456829	2014/06/20	Fri	1.7013	1.2523	10.5873
2456832	2014/06/23	Mon	1.7010	1.2514	10.5876
2456833	2014/06/24	Tue	1.6970	1.2489	10.5719
2456834	2014/06/25	Wed	1.6986	1.2456	10.5878
2456835	2014/06/26	Thu	1.7017	1.2503	10.5930
2456836	2014/06/27	Fri	1.7016	1.2484	10.5801
2456839	2014/06/30	Mon	1.7105	1.2495	10.6107
2456841	2014/07/02	Wed	1.7164	1.2569	10.6572
2456842	2014/07/03	Thu	1.7151	1.2602	10.6530
2456843	2014/07/04	Fri	1.7161	1.2620	10.6461
2456846	2014/07/07	Mon	1.7127	1.2590	10.6230
2456847	2014/07/08	Tue	1.7126	1.2579	10.6217
2456848	2014/07/09	Wed	1.7129	1.2567	10.6243
2456849	2014/07/10	Thu	1.7121	1.2589	10.6217
2456850	2014/07/11	Fri	1.7108	1.2581	10.6134
2456853	2014/07/14	Mon	1.7078	1.2539	10.5966
2456854	2014/07/15	Tue	1.7148	1.2634	10.6471
2456855	2014/07/16	Wed	1.7130	1.2662	10.6261
2456856	2014/07/17	Thu	1.7103	1.2642	10.6122
2456857	2014/07/18	Fri	1.7068	1.2630	10.5931
2456860	2014/07/21	Mon	1.7066	1.2621	10.5980
2456861	2014/07/22	Tue	1.7058	1.2665	10.5826
2456862	2014/07/23	Wed	1.7035	1.2655	10.5580
2456863	2014/07/24	Thu	1.6980	1.2608	10.5190
2456864	2014/07/25	Fri	1.6972	1.2636	10.5054
2456867	2014/07/28	Mon	1.6990	1.2641	10.5103
2456868	2014/07/29	Tue	1.6938	1.2631	10.4664
2456869	2014/07/30	Wed	1.6902	1.2634	10.4287
2456870	2014/07/31	Thu	1.6888	1.2613	10.4257
2456871	2014/08/01	Fri	1.6831	1.2528	10.4007
2456875	2014/08/05	Tue	1.6872	1.2625	10.4100
2456876	2014/08/06	Wed	1.6832	1.2604	10.3728
2456877	2014/08/07	Thu	1.6848	1.2609	10.3843
2456878	2014/08/08	Fri	1.6777	1.2509	10.3279
2456881	2014/08/11	Mon	1.6786	1.2541	10.3292
2456882	2014/08/12	Tue	1.6806	1.2581	10.3500
2456883	2014/08/13	Wed	1.6695	1.2490	10.2737
2456884	2014/08/14	Thu	1.6693	1.2480	10.2730
2456885	2014/08/15	Fri	1.6686	1.2460	10.2558
2456888	2014/08/18	Mon	1.6720	1.2516	10.2685
2456889	2014/08/19	Tue	1.6621	1.2479	10.2051
2456890	2014/08/20	Wed	1.6633	1.2521	10.2149
2456891	2014/08/21	Thu	1.6588	1.2487	10.2028
2456892	2014/08/22	Fri	1.6573	1.2519	10.1950
2456895	2014/08/25	Mon	1.6584	1.2559	10.2068
2456896	2014/08/26	Tue	1.6569	1.2562	10.1938
2456897	2014/08/27	Wed	1.6572	1.2564	10.1799
2456898	2014/08/28	Thu	1.6578	1.2581	10.1862
2456899	2014/08/29	Fri	1.6584	1.2612	10.1907
2456903	2014/09/02	Tue	1.6501	1.2573	10.1446
2456904	2014/09/03	Wed	1.6451	1.2524	10.1000
2456905	2014/09/04	Thu	1.6348	1.2647	10.0333
2456906	2014/09/05	Fri	1.6312	1.2591	10.0192
2456909	2014/09/08	Mon	1.6140	1.2465	9.9135
2456910	2014/09/09	Tue	1.6087	1.2462	9.8691
2456911	2014/09/10	Wed	1.6133	1.2499	9.8903
2456912	2014/09/11	Thu	1.6224	1.2542	9.9433
2456913	2014/09/12	Fri	1.6242	1.2538	9.9668
2456916	2014/09/15	Mon	1.6242	1.2542	9.9772
2456917	2014/09/16	Tue	1.6271	1.2538	10.0011
2456918	2014/09/17	Wed	1.6329	1.2601	10.0247
2456919	2014/09/18	Thu	1.6370	1.2677	10.0499
2456920	2014/09/19	Fri	1.6313	1.2710	10.0190
2456923	2014/09/22	Mon	1.6339	1.2736	10.0312
2456924	2014/09/23	Tue	1.6369	1.2730	10.0466
2456925	2014/09/24	Wed	1.6343	1.2780	10.0299
2456926	2014/09/25	Thu	1.6312	1.2796	10.0088
2456927	2014/09/26	Fri	1.6253	1.2812	9.9588
2456930	2014/09/29	Mon	1.6267	1.2805	10.0055
2456931	2014/09/30	Tue	1.6219	1.2844	9.9551
2456932	2014/10/01	Wed	1.6214	1.2852	9.9522
2456933	2014/10/02	Thu	1.6139	1.2739	9.9048
2456934	2014/10/03	Fri	1.5960	1.2752	9.7955
2456937	2014/10/06	Mon	1.6028	1.2728	9.8412
2456938	2014/10/07	Tue	1.6071	1.2729	9.8688
2456939	2014/10/08	Wed	1.6066	1.2667	9.8655
2456940	2014/10/09	Thu	1.6122	1.2711	9.8813
2456941	2014/10/10	Fri	1.6047	1.2701	9.8387
2456945	2014/10/14	Tue	1.5929	1.2582	9.7590
2456946	2014/10/15	Wed	1.5960	1.2489	9.7759
2456947	2014/10/16	Thu	1.6064	1.2539	9.8359
2456948	2014/10/17	Fri	1.6085	1.2611	9.8487
2456951	2014/10/20	Mon	1.6136	1.2624	9.8789
2456952	2014/10/21	Tue	1.6133	1.2680	9.8745
2456953	2014/10/22	Wed	1.6068	1.2694	9.8293
2456954	2014/10/23	Thu	1.6036	1.2670	9.8148
2456955	2014/10/24	Fri	1.6097	1.2701	9.8472
2456958	2014/10/27	Mon	1.6133	1.2691	9.8668
2456959	2014/10/28	Tue	1.6157	1.2675	9.8796
2456960	2014/10/29	Wed	1.6149	1.2655	9.8705
2456961	2014/10/30	Thu	1.6023	1.2695	9.7947
2456962	2014/10/31	Fri	1.5998	1.2768	9.7767
2456965	2014/11/03	Mon	1.5985	1.2802	9.7811
2456966	2014/11/04	Tue	1.5990	1.2738	9.7768
2456967	2014/11/05	Wed	1.5983	1.2798	9.7711
2456968	2014/11/06	Thu	1.5861	1.2779	9.6950
2456969	2014/11/07	Fri	1.5843	1.2755	9.7024
2456972	2014/11/10	Mon	1.5856	1.2761	9.7028
2456974	2014/11/12	Wed	1.5815	1.2697	9.6884
2456975	2014/11/13	Thu	1.5716	1.2597	9.6265
2456976	2014/11/14	Fri	1.5655	1.2531	9.5936
