PACIFIC Exchange Rate Service
Jul.Day	YYYY/MM/DD	Wdy	USD/EUR	CNY/EUR
2456660	2014/01/02	Thu	1.3670	8.2726
2456661	2014/01/03	Fri	1.3605	8.2326
2456664	2014/01/06	Mon	1.3635	8.2533
2456665	2014/01/07	Tue	1.3617	8.2406
2456666	2014/01/08	Wed	1.3586	8.2230
2456667	2014/01/09	Thu	1.3590	8.2294
2456668	2014/01/10	Fri	1.3662	8.2677
2456671	2014/01/13	Mon	1.3646	8.2446
2456672	2014/01/14	Tue	1.3681	8.2646
2456673	2014/01/15	Wed	1.3604	8.2262
2456674	2014/01/16	Thu	1.3600	8.2367
2456675	2014/01/17	Fri	1.3554	8.1987
2456678	2014/01/20	Mon	1.3562	8.2093
2456679	2014/01/21	Tue	1.3560	8.2063
2456680	2014/01/22	Wed	1.3546	8.1979
2456681	2014/01/23	Thu	1.3679	8.2790
2456682	2014/01/24	Fri	1.3679	8.2734
2456685	2014/01/27	Mon	1.3678	8.2725
2456686	2014/01/28	Tue	1.3661	8.2676
2456687	2014/01/29	Wed	1.3662	8.2727
2456688	2014/01/30	Thu	1.3549	8.2127
2456689	2014/01/31	Fri	1.3500	8.1804
2456692	2014/02/03	Mon	1.3523	8.1981
2456693	2014/02/04	Tue	1.3506	8.1859
2456694	2014/02/05	Wed	1.3519	8.1916
2456695	2014/02/06	Thu	1.3603	8.2437
2456696	2014/02/07	Fri	1.3613	8.2548
2456699	2014/02/10	Mon	1.3643	8.2682
2456700	2014/02/11	Tue	1.3653	8.2749
2456701	2014/02/12	Wed	1.3592	8.2416
2456702	2014/02/13	Thu	1.3669	8.2877
2456703	2014/02/14	Fri	1.3689	8.3050
2456707	2014/02/18	Tue	1.3758	8.3485
2456708	2014/02/19	Wed	1.3761	8.3603
2456709	2014/02/20	Thu	1.3690	8.3293
2456710	2014/02/21	Fri	1.3722	8.3580
2456713	2014/02/24	Mon	1.3744	8.3828
2456714	2014/02/25	Tue	1.3749	8.4193
2456715	2014/02/26	Wed	1.3668	8.3719
2456716	2014/02/27	Thu	1.3724	8.4098
2456717	2014/02/28	Fri	1.3806	8.4850
2456720	2014/03/03	Mon	1.3763	8.4576
2456721	2014/03/04	Tue	1.3731	8.4362
2456722	2014/03/05	Wed	1.3734	8.4176
2456723	2014/03/06	Thu	1.3848	8.4743
2456724	2014/03/07	Fri	1.3868	8.4961
2456727	2014/03/10	Mon	1.3879	8.5202
2456728	2014/03/11	Tue	1.3867	8.5164
2456729	2014/03/12	Wed	1.3904	8.5419
2456730	2014/03/13	Thu	1.3926	8.5450
2456731	2014/03/14	Fri	1.3924	8.5624
2456734	2014/03/17	Mon	1.3927	8.6037
2456735	2014/03/18	Tue	1.3913	8.6168
2456736	2014/03/19	Wed	1.3909	8.6192
2456737	2014/03/20	Thu	1.3783	8.5816
2456738	2014/03/21	Fri	1.3781	8.5795
2456741	2014/03/24	Mon	1.3783	8.5414
2456742	2014/03/25	Tue	1.3777	8.5444
2456743	2014/03/26	Wed	1.3786	8.5582
2456744	2014/03/27	Thu	1.3739	8.5343
2456745	2014/03/28	Fri	1.3752	8.5430
2456748	2014/03/31	Mon	1.3776	8.5641
2456749	2014/04/01	Tue	1.3803	8.5656
2456750	2014/04/02	Wed	1.3761	8.5377
2456751	2014/04/03	Thu	1.3706	8.5115
2456752	2014/04/04	Fri	1.3703	8.5133
2456755	2014/04/07	Mon	1.3745	8.5391
2456756	2014/04/08	Tue	1.3802	8.5508
2456757	2014/04/09	Wed	1.3816	8.5688
2456758	2014/04/10	Thu	1.3891	8.6321
2456759	2014/04/11	Fri	1.3898	8.6300
2456762	2014/04/14	Mon	1.3824	8.5969
2456763	2014/04/15	Tue	1.3807	8.5898
2456764	2014/04/16	Wed	1.3820	8.5962
2456765	2014/04/17	Thu	1.3831	8.6035
2456769	2014/04/21	Mon	1.3789	8.5859
2456770	2014/04/22	Tue	1.3804	8.6086
2456771	2014/04/23	Wed	1.3814	8.6150
2456772	2014/04/24	Thu	1.3827	8.6385
2456773	2014/04/25	Fri	1.3838	8.6523
2456776	2014/04/28	Mon	1.3844	8.6587
2456777	2014/04/29	Tue	1.3807	8.6398
2456778	2014/04/30	Wed	1.3869	8.6785
2456779	2014/05/01	Thu	1.3867	8.6787
2456780	2014/05/02	Fri	1.3864	8.6783
2456783	2014/05/05	Mon	1.3884	8.6716
2456784	2014/05/06	Tue	1.3924	8.6695
2456785	2014/05/07	Wed	1.3917	8.6750
2456786	2014/05/08	Thu	1.3864	8.6368
2456787	2014/05/09	Fri	1.3762	8.5720
2456790	2014/05/12	Mon	1.3759	8.5840
2456791	2014/05/13	Tue	1.3710	8.5380
2456792	2014/05/14	Wed	1.3718	8.5440
2456793	2014/05/15	Thu	1.3712	8.5449
2456794	2014/05/16	Fri	1.3707	8.5430
2456798	2014/05/20	Tue	1.3701	8.5489
2456799	2014/05/21	Wed	1.3656	8.5120
2456800	2014/05/22	Thu	1.3652	8.5114
2456801	2014/05/23	Fri	1.3627	8.4986
2456804	2014/05/26	Mon	1.3648	8.5138
2456805	2014/05/27	Tue	1.3618	8.5112
2456806	2014/05/28	Wed	1.3594	8.5000
2456807	2014/05/29	Thu	1.3608	8.4899
2456808	2014/05/30	Fri	1.3639	8.5233
2456811	2014/06/02	Mon	1.3605	8.4994
2456812	2014/06/03	Tue	1.3624	8.5221
2456813	2014/06/04	Wed	1.3619	8.5114
2456814	2014/06/05	Thu	1.3619	8.5189
2456815	2014/06/06	Fri	1.3639	8.5234
2456818	2014/06/09	Mon	1.3589	8.4817
2456819	2014/06/10	Tue	1.3542	8.4270
2456820	2014/06/11	Wed	1.3537	8.4256
2456821	2014/06/12	Thu	1.3555	8.4292
2456822	2014/06/13	Fri	1.3522	8.3977
2456825	2014/06/16	Mon	1.3577	8.4564
2456826	2014/06/17	Tue	1.3542	8.4314
2456827	2014/06/18	Wed	1.3567	8.4558
2456828	2014/06/19	Thu	1.3619	8.4850
2456829	2014/06/20	Fri	1.3585	8.4543
2456832	2014/06/23	Mon	1.3592	8.4605
2456833	2014/06/24	Tue	1.3588	8.4652
2456834	2014/06/25	Wed	1.3637	8.5000
2456835	2014/06/26	Thu	1.3610	8.4721
2456836	2014/06/27	Fri	1.3631	8.4752
2456839	2014/06/30	Mon	1.3690	8.4922
2456841	2014/07/02	Wed	1.3656	8.4790
2456842	2014/07/03	Thu	1.3609	8.4533
2456843	2014/07/04	Fri	1.3599	8.4361
2456846	2014/07/07	Mon	1.3603	8.4375
2456847	2014/07/08	Tue	1.3614	8.4439
2456848	2014/07/09	Wed	1.3630	8.4543
2456849	2014/07/10	Thu	1.3600	8.4371
2456850	2014/07/11	Fri	1.3598	8.4358
2456853	2014/07/14	Mon	1.3620	8.4508
2456854	2014/07/15	Tue	1.3573	8.4273
2456855	2014/07/16	Wed	1.3529	8.3924
2456856	2014/07/17	Thu	1.3528	8.3941
2456857	2014/07/18	Fri	1.3514	8.3873
2456860	2014/07/21	Mon	1.3522	8.3973
2456861	2014/07/22	Tue	1.3469	8.3557
2456862	2014/07/23	Wed	1.3461	8.3428
2456863	2014/07/24	Thu	1.3468	8.3431
2456864	2014/07/25	Fri	1.3431	8.3137
2456867	2014/07/28	Mon	1.3440	8.3144
2456868	2014/07/29	Tue	1.3410	8.2864
2456869	2014/07/30	Wed	1.3378	8.2545
2456870	2014/07/31	Thu	1.3389	8.2659
2456871	2014/08/01	Fri	1.3435	8.3022
2456875	2014/08/05	Tue	1.3365	8.2458
2456876	2014/08/06	Wed	1.3354	8.2296
2456877	2014/08/07	Thu	1.3362	8.2359
2456878	2014/08/08	Fri	1.3412	8.2562
2456881	2014/08/11	Mon	1.3385	8.2363
2456882	2014/08/12	Tue	1.3358	8.2268
2456883	2014/08/13	Wed	1.3366	8.2252
2456884	2014/08/14	Thu	1.3375	8.2313
2456885	2014/08/15	Fri	1.3391	8.2310
2456888	2014/08/18	Mon	1.3358	8.2042
2456889	2014/08/19	Tue	1.3320	8.1781
2456890	2014/08/20	Wed	1.3284	8.1582
2456891	2014/08/21	Thu	1.3285	8.1708
2456892	2014/08/22	Fri	1.3237	8.1433
2456895	2014/08/25	Mon	1.3205	8.1272
2456896	2014/08/26	Tue	1.3190	8.1146
2456897	2014/08/27	Wed	1.3191	8.1027
2456898	2014/08/28	Thu	1.3178	8.0968
2456899	2014/08/29	Fri	1.3150	8.0804
